mode,loss,run,packets_requested,sent_packets,retransmissions,delivered_packets,fec_recoveries,duration_sec,goodput_bytes,goodput_bytes_per_sec,error
baseline,0.0,1,200,200,0,200,0,0.33535839281050495,40000,119107.68105903702,
baseline,0.0,2,200,200,0,200,0,0.33535839281050495,40000,119107.68105903702,
baseline,0.0,3,200,200,0,200,0,0.33535839281050495,40000,119107.68105903702,
baseline,0.01,1,200,200,0,198,0,0.31943807765633947,39600,124297.07627722577,
baseline,0.01,2,200,200,0,198,0,0.31943807765633947,39600,124297.07627722577,
baseline,0.01,3,200,200,0,198,0,0.31943807765633947,39600,124297.07627722577,
baseline,0.05,1,200,200,0,194,0,0.31697511341744544,38800,122867.52178252909,
baseline,0.05,2,200,200,0,194,0,0.31697511341744544,38800,122867.52178252909,
baseline,0.05,3,200,200,0,194,0,0.31697511341744544,38800,122867.52178252909,
baseline,0.1,1,200,200,0,187,0,0.33330799126348404,37400,110802.02876803894,
baseline,0.1,2,200,200,0,187,0,0.33330799126348404,37400,110802.02876803894,
baseline,0.1,3,200,200,0,187,0,0.33330799126348404,37400,110802.02876803894,
baseline,0.2,1,200,200,0,167,0,0.3210496856177838,33400,104985.85962644634,
baseline,0.2,2,200,200,0,167,0,0.3210496856177838,33400,104985.85962644634,
baseline,0.2,3,200,200,0,167,0,0.3210496856177838,33400,104985.85962644634,
arq,0.0,1,200,200,0,200,0,0.34851013252322655,40000,115704.84884254972,
arq,0.0,2,200,200,0,200,0,0.34851013252322655,40000,115704.84884254972,
arq,0.0,3,200,200,0,200,0,0.34851013252322655,40000,115704.84884254972,
arq,0.01,1,200,202,2,200,0,0.359049133102035,40000,112073.46702764019,
arq,0.01,2,200,202,2,200,0,0.359049133102035,40000,112073.46702764019,
arq,0.01,3,200,202,2,200,0,0.359049133102035,40000,112073.46702764019,
arq,0.05,1,200,217,17,200,0,0.46766784269951084,40000,84430.04582882104,
arq,0.05,2,200,217,17,200,0,0.46766784269951084,40000,84430.04582882104,
arq,0.05,3,200,217,17,200,0,0.46766784269951084,40000,84430.04582882104,
arq,0.1,1,200,219,19,200,0,0.5765175840629139,40000,69095.85998273641,
arq,0.1,2,200,219,19,200,0,0.5765175840629139,40000,69095.85998273641,
arq,0.1,3,200,219,19,200,0,0.5765175840629139,40000,69095.85998273641,
arq,0.2,1,200,253,53,200,0,0.9338922830359531,40000,43642.23744304012,
arq,0.2,2,200,253,53,200,0,0.9338922830359531,40000,43642.23744304012,
arq,0.2,3,200,253,53,200,0,0.9338922830359531,40000,43642.23744304012,
fec,0.0,1,200,250,0,200,0,0.4963087916160349,40000,79681.2059767262,
fec,0.0,2,200,250,0,200,0,0.4963087916160349,40000,79681.2059767262,
fec,0.0,3,200,250,0,200,0,0.4963087916160349,40000,79681.2059767262,
fec,0.01,1,200,250,0,200,2,0.46412763259035333,40000,86363.96102421146,
fec,0.01,2,200,250,0,200,2,0.46412763259035333,40000,86363.96102421146,
fec,0.01,3,200,250,0,200,2,0.46412763259035333,40000,86363.96102421146,
fec,0.05,1,200,250,0,200,8,0.44452189734319325,40000,89021.09981463854,
fec,0.05,2,200,250,0,200,8,0.44452189734319325,40000,89021.09981463854,
fec,0.05,3,200,250,0,200,8,0.44452189734319325,40000,89021.09981463854,
fec,0.1,1,200,250,0,195,16,0.5005436014801413,39000,77927.07674083118,
fec,0.1,2,200,250,0,195,16,0.5005436014801413,39000,77927.07674083118,
fec,0.1,3,200,250,0,195,16,0.5005436014801413,39000,77927.07674083118,
fec,0.2,1,200,250,0,194,20,0.49922916760618313,38800,77649.57532828175,
fec,0.2,2,200,250,0,194,20,0.49922916760618313,38800,77649.57532828175,
fec,0.2,3,200,250,0,194,20,0.49922916760618313,38800,77649.57532828175,
